"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"116",0,"0",0,"Fail",16,0.1,1e-04,1,1,1
"117",0,"0",0,"Fail",17,0.1,1e-04,1,1,1
"118",0,"0",0,"Fail",18,0.1,1e-04,1,1,1
"119",0,"0",0,"Fail",19,0.1,1e-04,1,1,1
"120",0,"0",0,"Fail",20,0.1,1e-04,1,1,1
"121",0,"0",0,"Fail",21,0.1,1e-04,1,1,1
"122",0,"0",0,"Fail",22,0.1,1e-04,1,1,1
"123",0,"0",0,"Fail",23,0.1,1e-04,1,1,1
"124",0,"0",0,"Fail",24,0.1,1e-04,1,1,1
"125",0,"0",0,"Fail",25,0.1,1e-04,1,1,1
"126",0,"0",0,"Fail",26,0.1,1e-04,1,1,1
"12710",0,"0",0,"Fail",27,0.1,1e-04,1,1,1
"12810",0,"0",0,"Fail",28,0.1,1e-04,1,1,1
"12910",0,"0",0,"Fail",29,0.1,1e-04,1,1,1
"13010",0,"0",0,"Fail",30,0.1,1e-04,1,1,1
"13110",0,"0",0,"Fail",31,0.1,1e-04,1,1,1
"13210",0,"0",0,"Fail",32,0.1,1e-04,1,1,1
"13310",0,"0",0,"Fail",33,0.1,1e-04,1,1,1
"13410",0,"0",0,"Fail",34,0.1,1e-04,1,1,1
"13510",0,"0",0,"Fail",35,0.1,1e-04,1,1,1
"13610",0,"0",0,"Fail",36,0.1,1e-04,1,1,1
"13710",0,"0",0,"Fail",37,0.1,1e-04,1,1,1
"13810",0,"0",0,"Fail",38,0.1,1e-04,1,1,1
"139",0,"0",0,"Fail",39,0.1,1e-04,1,1,1
"140",0,"0",0,"Fail",40,0.1,1e-04,1,1,1
"141",0,"0",0,"Fail",41,0.1,1e-04,1,1,1
"142",0,"0",0,"Fail",42,0.1,1e-04,1,1,1
"143",0,"0",0,"Fail",43,0.1,1e-04,1,1,1
"144",0,"0",0,"Fail",44,0.1,1e-04,1,1,1
"145",0,"0",0,"Fail",45,0.1,1e-04,1,1,1
"146",0,"0",0,"Fail",46,0.1,1e-04,1,1,1
"147",0,"0",0,"Fail",47,0.1,1e-04,1,1,1
"148",0,"0",0,"Fail",48,0.1,1e-04,1,1,1
"149",0,"0",0,"Fail",49,0.1,1e-04,1,1,1
"150",0,"0",0,"Fail",50,0.1,1e-04,1,1,1
"151",0,"0",0,"Fail",51,0.1,1e-04,1,1,1
"152",0,"0",0,"Fail",52,0.1,1e-04,1,1,1
"153",0,"0",0,"Fail",53,0.1,1e-04,1,1,1
"154",0,"0",0,"Fail",54,0.1,1e-04,1,1,1
"155",0,"0",0,"Fail",55,0.1,1e-04,1,1,1
"156",0,"0",0,"Fail",56,0.1,1e-04,1,1,1
