"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"907",28.7,"up",12.5258679185923,"success",25,0.1,0.5,4.16666666666667,1,1
"908",27.3,"up",11.9832415943877,"success",26,0.1,0.5,4.16666666666667,1,1
"909",26.1,"up",11.4944793583126,"success",27,0.1,0.5,4.16666666666667,1,1
"910",25.1,"up",11.0551710169261,"success",28,0.1,0.5,4.16666666666667,1,1
"911",24.1,"up",10.6529810157978,"success",29,0.1,0.5,4.16666666666667,1,1
"912",23.3,"up",10.291461874118,"success",30,0.1,0.5,4.16666666666667,1,1
"913",22.5,"up",9.95958476066838,"success",31,0.1,0.5,4.16666666666667,1,1
"914",21.8,"up",9.6573216041602,"success",32,0.1,0.5,4.16666666666667,1,1
"915",21.2,"up",9.38147101242556,"success",33,0.1,0.5,4.16666666666667,1,1
"916",20.6,"up",9.12656123837478,"success",34,0.1,0.5,4.16666666666667,1,1
"917",20,"up",8.89034598367308,"success",35,0.1,0.5,4.16666666666667,1,1
"918",19.5,"up",8.6735977251152,"success",36,0.1,0.5,4.16666666666667,1,1
"919",19,"up",8.47178448401046,"success",37,0.1,0.5,4.16666666666667,1,1
"920",18.6,"up",8.28603568165013,"success",38,0.1,0.5,4.16666666666667,1,1
"921",18.2,"up",8.11237817897062,"success",39,0.1,0.5,4.16666666666667,1,1
"922",17.8,"up",7.94983968225874,"success",40,0.1,0.5,4.16666666666667,1,1
"923",17.4,"up",7.79739018124303,"success",41,0.1,0.5,4.16666666666667,1,1
"924",17.1,"up",7.65627774975697,"success",42,0.1,0.5,4.16666666666667,1,1
"925",16.7,"up",7.52136249353643,"success",43,0.1,0.5,4.16666666666667,1,1
"926",16.4,"up",7.39636512292583,"success",44,0.1,0.5,4.16666666666667,1,1
"927",16.1,"up",7.27827739344584,"success",45,0.1,0.5,4.16666666666667,1,1
"928",15.8,"up",7.16676571360026,"success",46,0.1,0.5,4.16666666666667,1,1
"929",15.5,"up",7.06126528396453,"success",47,0.1,0.5,4.16666666666667,1,1
"983",33.5,"up",14.4015673093031,"success",12,0.1,1,4.16666666666667,1,1
"984",29.7,"up",13.0614293914317,"success",13,0.1,1,4.16666666666667,1,1
"985",27,"up",11.9618921263041,"success",14,0.1,1,4.16666666666667,1,1
"986",24.9,"up",11.0613834123142,"success",15,0.1,1,4.16666666666667,1,1
"987",23.2,"up",10.3188116038065,"success",16,0.1,1,4.16666666666667,1,1
"988",21.7,"up",9.69702521101477,"success",17,0.1,1,4.16666666666667,1,1
"989",20.5,"up",9.17510675255572,"success",18,0.1,1,4.16666666666667,1,1
"990",19.5,"up",8.73089481628429,"success",19,0.1,1,4.16666666666667,1,1
"991",18.6,"up",8.34748223249651,"success",20,0.1,1,4.16666666666667,1,1
"992",17.8,"up",8.01409984333043,"success",21,0.1,1,4.16666666666667,1,1
"993",17.1,"up",7.72243321122607,"success",22,0.1,1,4.16666666666667,1,1
"994",16.4,"up",7.46358007041847,"success",23,0.1,1,4.16666666666667,1,1
"995",15.9,"up",7.23709795151808,"success",24,0.1,1,4.16666666666667,1,1
"1072",33.1,"up",14.3481355855712,"success",10,0.1,1.25,4.16666666666667,1,1
"1073",28.8,"up",12.7395619902443,"success",11,0.1,1.25,4.16666666666667,1,1
"1074",25.8,"up",11.4829822306331,"success",12,0.1,1.25,4.16666666666667,1,1
"1075",23.5,"up",10.4977236844181,"success",13,0.1,1.25,4.16666666666667,1,1
"1076",21.7,"up",9.71480580679565,"success",14,0.1,1.25,4.16666666666667,1,1
"1077",20.3,"up",9.08265286375166,"success",15,0.1,1.25,4.16666666666667,1,1
"1078",19,"up",8.55814349471043,"success",16,0.1,1.25,4.16666666666667,1,1
"1079",18,"up",8.12268349569485,"success",17,0.1,1.25,4.16666666666667,1,1
"1080",17.1,"up",7.75318059105512,"success",18,0.1,1.25,4.16666666666667,1,1
"1081",16.3,"up",7.43681919321362,"success",19,0.1,1.25,4.16666666666667,1,1
"1163",30.8,"up",13.6052627976774,"success",9,0.1,1.5,4.16666666666667,1,1
"1164",26.7,"up",11.9278005897532,"success",10,0.1,1.5,4.16666666666667,1,1
"1165",23.8,"up",10.677167108644,"success",11,0.1,1.5,4.16666666666667,1,1
"1166",21.7,"up",9.73050823799898,"success",12,0.1,1.5,4.16666666666667,1,1
"1167",20,"up",8.99132816743865,"success",13,0.1,1.5,4.16666666666667,1,1
"1168",18.6,"up",8.40173190221994,"success",14,0.1,1.5,4.16666666666667,1,1
"1169",17.5,"up",7.92420759285216,"success",15,0.1,1.5,4.16666666666667,1,1
"1170",16.5,"up",7.52787904781907,"success",16,0.1,1.5,4.16666666666667,1,1
